Room\Time,08:30-09:50,10:00-11:20,11:30-12:50,01:00-02:20,02:30-03:50,03:55-05:15
C-301,FSPM CS-8A,DAA CS-4A/Y,Technopreneurship CS-8A,PS CS-2D,AI DS-6N,MM CS-4A
C-302,PF F,ACV PCS-2A,FM CS-4B,ISE AI-2C,SM CS-6E,MAD MCNS-A
C-303,OOP CS-2G,OOP CS-2D,DS CY-2A,ISE SE-2C,APP PCS-3A,DS A
C-304,PS CS-4D,DBS AI-4K,PMS SE-6R,CAG CS-F,PMS SE-6R,DIP CS-8B
C-305,MM SE-4P,AP MCNS-A,PS CS-4C,ISE CY-2D,PMS SE-6P,WP CS-B
C-307,CPS SE-2C,OOP CS-Z,DE CS-2F,PS CS-4Y,NLP CS-8A,ISE CY-2C
C-308,DE AI-2D,CN CY-4T,CN AI-6J,OS CS-4E/V,DAA CS-4B/Z,TBW CY-4T
C-309,CC CS-8B,CPS CS-2C,PS CS-4H,GL SE-4Q,DE DS-2A,DLD CS-2H
C-310,RM MCNS-A,ISE SE-2A,OOP CS-2G,OOP SE-2F,PS CS-2A,DE CY-2D
C-311,PDC CS-6B,PF A,DS G,OOP CS-2F,MM DS-4N,CPS CS-2G
C-401,CAG CS-D,OOP CS-2K,FSE DS-4N,EHCP CY-6T,ISE SE-2D,CPS CY-2B
C-402,IA CY-T,AI CS-6E,DE CY-2D,SE CS-6E,FM CS-4C,SE CS-6B
C-403,CPS AI-2A,PS CS-4A,FM DS-4M,DE CY-2C,DLD CS-2C,AS DS-4U
C-404,NC CS-6A,AAI SE-6R,CC CS-8B,DevOPs CS-8A,DS SE-2C,DM PCS-2A
C-405,PF D,OOP CY-2C,DS E,NC CS-6B,OOP AI-2A,DL MDS-A
C-406,ISE CY-2B,PF C,ISE DS-2D,ISE AI-2B,Technopreneurship CS-8B,OOP CS-2C
C-407,OOP SE-2G,CN SE-6S,DM DS-6N,PS CS-2H,SM CS-6A,PS CS-2J
C-408,OOP CY-2A,CPS CS-2A,AI CY-6T,OOP SE-2E,AML PCS-2A,DBS CS-4C/D
C-409,CPS CS-2B,OOP SE-2D,BPE SE-4P,PS CS-4G,DE CY-2B,MM DS-4N
C-410,KELD MCS-A,CPS AI-2C,SDA CS-A,PPII AI-8J,AI CS-6F,OOP SE-2B
B-227,PF B,DLD CS-2B,CPS CS-2H,CPS CS-2J,DE CS-2D,NC CS-6A
B-229,CPS SE-2D,RM MDS-A,FSE AI-4J,PS SE-4P,DBS CS-4A/Y,ISE SE-2C
B-230,OS CS-4G,AML MAI-A,WE SE-6S,MAD MCNS-A,ISE SE-2G,AEC AI-8K
A-301,DBS DS-4N,AP MCS-A,TPL MCS-A,TBW CS-E,KELD MCS-A,DBS AI-4K
A-302,TBW CS-A,OOP DS-2D,DLD CS-2A,WP CS-B,OOP CY-2C,DE CS-2F
A-303,DS A,MLOPs CS-8B,PDC CS-6A,OOP DS-2C,DBS SE-4P,PDC DS-6N
A-305,FNLP AI-6K,PF E,FM CS-4D,APP PCS-3A,OOP CS-2H,TBW CS-D
A-310,DS DS-2B,DS DS-2C,DS SE-2B,DS CY-2A,CPS SE-2B,AKE PCS-3A
A-311,FBDA DS-4M,MM CS-4D,PS CS-2D,CN SE-6R,DL MDS-A,DDE CS-8A
A-314,OOP CS-2J,MM DS-4U,NC CS-6C,AS DS-4M,DE AI-2C,DE CS-2A
A-315,OS CS-4C/D,DE CS-2G,DE CS-2B,OOP DS-2A,PS CS-4F,COAL AI-4J
A-316,DS SE-2E,WP DS-6N,AP MCNS-A,DIP AI-6K,DAA CS-4C/D,DE CY-2A
A-108,PS CS-2E,DS CY-2A,CPS AI-2C,AAI SE-6Q,PPII CY-T,CN SE-6Q
B-130,PS SE-4Q,AP CS-B,BDA MDS-A,DE AI-2A,PS CS-4G,MM CS-4D
A-211,Entrepreneurship DS-N,SM CS-6D,DS AI-2D,PS CS-2A,PF C,IS SE-6S
