"FAST School of Computing, NUCES, Islamabad",,,,,,
"Allocation of Sciences & Humanities Courses/ Labs, Spring-2023",,,,,,
S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator
BS Batch 2022,,,,,,
,MT-1006,Differential Equations (CS),3,CS-2A,Hamda Khan,Hamda Khan
,,,,CS-2B,Hamda Khan,
,,,,CS-2C,Hamda Khan,
,,,,CS-2D,Arif Hussain,
,,,,CS-2E,Usman Rashid,
,,,,CS-2F,Usman Rashid,
,,,,CS-2G,Sumaira Azhar,
,,,,CS-2H,Usman Rashid,
,,,,CS-2J,Hamda Khan,
,,,,CS-2K,Sumaira Azhar,
,,,,CS-2Z,Irfan Shah,
,SS-1008,Communication and Presentation Skills (CS),2,CS-2A,Shahzad Mehmood,Zunera Malik
,,,,CS-2B,Shahzad Mehmood,
,,,,CS-2C,Zunera Malik,
,,,,CS-2D,Eeman Mirza,
,,,,CS-2E,Zunera Malik,
,,,,CS-2F,Amna Hafeez,
,,,,CS-2G,Eeman Mirza,
,,,,CS-2H,Amna Hafeez,
,,,,CS-2J,Shahzad Mehmood,
,,,,CS-2K,Shahzad Mehmood,
,SS-1003,Pakistan Studies (CS),3,CS-2A,Farooq Dar,Maimoona Rasool
,,,,CS-2B,Farooq Dar,
,,,,CS-2C,Maimoona Rasool,
,,,,CS-2D,Muhammad Ajmal,
,,,,CS-2E,Maimoona Rasool,
,,,,CS-2F,Muhammad Ajmal,
,,,,CS-2G,Gul-e-Aisha,
,,,,CS-2H,Fouzia Umer,
,,,,CS-2J,Muhammad Ajmal,
,,,,CS-2K,Sajid Khan,
,MT-1006,Differential Equations (AI),3,AI-2A,Sehrish Hassan,Sehrish Hassan
,,,,AI-2B,Sehrish Hassan,
,,,,AI-2C,Sehrish Hassan,
,,,,AI-2D,Sehrish Hassan,
,SS-1008,Communication and Presentation Skills (AI),2,AI-2A,Aqsa Malik,Aqsa Malik
,,,,AI-2B,Aqsa Malik,
,,,,AI-2C,Aqsa Malik,
,,,,AI-2D,Aqsa Malik,
,SS-1002,Islamic Studies Ethics (AI),3,AI-2A,Asim Sehikh,Muhammad Ibrahim
,,,,AI-2B,Asim Sehikh,
,,,,AI-2C,Muhammad Ibrahim,
,,,,AI-2D,Muhammad Ibrahim,
,MT-1006,Differential Equations (DS),3,DS-2A,Sumaira Azhar,Usman Rashid
,,,,DS-2B,Arif Hussain,
,,,,DS-2C,Sumaira Azhar,
,,,,DS-2D,Usman Rashid,
,SS-1008,Communication and Presentation Skills (DS),2,DS-2A,Sanaa Ilyas,Sanaa Ilyas
,,,,DS-2B,Sanaa Ilyas,
,,,,DS-2C,Sanaa Ilyas,
,,,,DS-2D,Sanaa Ilyas,
,SS-1002,Islamic Studies/Ethics  (DS),3,DS-2A,Ussama Ahmed,Ussama Ahmed
,,,,DS-2B,Yahya Maqsood,
,,,,DS-2C,Abdul Salam,
,,,,DS-2D,Abdul Salam,
,SS-1008,Communication and Presentation Skills  (SE),2,SE-2A,Aniqa Jahanghir,Zunera Malik
,,,,SE-2B,Zunera Malik,
,,,,SE-2C,Aniqa Jahanghir,
,,,,SE-2D,Amna Hafeez,
,,,,SE-2E,Aniqa Jahanghir,
,,,,SE-2F,Aniqa Jahanghir,
,,,,SE-2G,Zunera Malik,
,SS-1002,Islamic Studies/Ethics (SE),3,SE-2A,Ahmed Abdul Rahman,Ahmed Abdul Rahman
,,,,SE-2B,Yahya Maqsood,
,,,,SE-2C,Sobia Shehzadi ,
,,,,SE-2D,Sobia Shehzadi ,
,,,,SE-2E,Asad Ullah,
,,,,SE-2F,Asim Sheikh,
,,,,SE-2G,Usama Ehsan,
,MT-1006,Differential Equations (CY),3,CY-2A,Ahtisham Ul Haq,Javeria Akram
,,,,CY-2B,Ahtisham Ul Haq,
,,,,CY-2C,Javaria Akram,
,,,,CY-2D,Javaria Akram,
,SS-1008,Communication and Presentation Skills (CY),2,CY-2A,Sadia Nauman,Sadia Nauman
,,,,CY-2B,Sadia Nauman,
,,,,CY-2C,Sadia Nauman,
,,,,CY-2D,Sadia Nauman,
,SS-1002,Islamic Studies/Ethics (CY),3,CY-2A,Ussama Ahmed,Mahboobullah
,,,,CY-2B,Sobia Shehzadi,
,,,,CY-2C,Mahboobullah,
,,,,CY-2D,Mahboobullah,
BS Batch 2022 and Earlier Batches Repeat Courses,,,,,,
,MT-1003,Calculus and Analytical Geometry (All Programs),3,CS-A,Usman Ashraf,Usman Ashraf
,,,,CS-B,Usman Ashraf,
,,,,CS-C,Amna Bashir,
,,,,CS-D,Hina Salman,
,,,,CS-E,Imran Shahzad,
,,,,CS-F,Imran Shahzad,
,NS-1001,Applied Physics,3,CS-A,Aisha Ijaz,Aisha Ijaz
,,,,CS-B,Aisha Ijaz,
BS Batch 2021,,,,,,
,MT-2005,Probability and Statistics (CS),3,CS-4A,Khalil Ullah,Khalil Ullah
,,,,CS-4B,Khalil Ullah,
,,,,CS-4C,Waqas Munir,
,,,,CS-4D,Moomal Bukhari,
,,,,CS-4E,Moomal Bukhari,
,,,,CS-4F,Waqas Munir,
,,,,CS-4G,Sana Saleh (EE),
,,,,CS-4H,Sana Saleh (EE),
,,,,CS-4Y,Usman Ashraf,
,,,,CS-4Z,Usman Ashraf,
,SS-2003,Psychology (Elective),3,CS-4A,Nagina Safdar,Nagina Safdar
,SS-2014,German Language (CS),3,CS-4A,Afia Qazi,Afia Qazi
,MT-2005,Probability and Statistics (SE),3,SE-4P,Khalil Ullah,Khalil Ullah
,,,,SE-4Q,Khalil Ullah,
,SS-2014,German Language (SE),3,SE-4Q,Ebrahim Riaz,Ebrahim Riaz
,SS-2007,Technical and Business Writing (CY),3,CY-4T,Amna Hafeez,Amna Hafeez
BS Batch 2020,,,,,,
,CS-2008,Numerical Computing (CS),3,CS-6A,Sara Aziz,Sara Aziz
,,,,CS-6B,Muhammad Ali,
,,,,CS-6C,Sara Aziz,
,,,,CS-6D,Sara Aziz,
,,,,CS-6E,Tayyaba Ehsan,
,,,,CS-6F,Tayyaba Ehsan,
BS Batch 2020 and Earlier Batches Repeat Courses,,,,,,
,SS-2007,Technical and Business Writing (All Programs),3,CS-A,Tehreem Wali,Tehreem Wali
,,,,CS-B,Tehreem Wali,
,,,,CS-C,Tehreem Wali,
,,,,CS-D,Summayya Malik,
,,,,CS-E,Eeman Mirza,
BS Batch 2019,,,,,,
,SS-2014,German Language (CS),3,CS-8A,Afia Qazi,
BS Batch 2022-Labs (S&H),,,,,,
,SL-1008,Communication and Presentation Skills - Lab (CS),1,CS-2A1,Shafaq Shakeel,Summaya Naveed
,,,,CS-2A2,Hajra Khalid,
,,,,CS-2B1,Summaya Naveed,
,,,,CS-2B2,Hiba Aamir,
,,,,CS-2C1,Shafaq Shakeel,
,,,,CS-2C2,Halla Waheed,
,,,,CS-2D1,Halla Waheed,
,,,,CS-2D2,Summaya Naveed,
,,,,CS-2E1,Hajra Khalid,
,,,,CS-2E2,Hiba Aamir,
,,,,CS-2F1,Summaya Naveed,
,,,,CS-2F2,Hajra Khalid,
,,,,CS-2G1,Mehreen Tahir,
,,,,CS-2G2,Halla Waheed,
,,,,CS-2H1,Hajra Khalid,
,,,,CS-2H2,Summaya Naveed,
,,,,CS-2J1,Halla Waheed,
,,,,CS-2J2,Hiba Aamir,
,,,,CS-2K1,Mehreen Tahir,
,,,,CS-2K2,Hiba Aamir,
,SL-1008,Communication and Presentation Skills - Lab (AI),1,AI-2A1,Momal Saleem,Momal Saleem
,,,,AI-2A2,Sidra Sheikh,
,,,,AI-2B1,Momal Saleem,
,,,,AI-2B2,Ghalia Gohar,
,,,,AI-2C1,Momal Saleem,
,,,,AI-2C2,Summayya Malik,
,,,,AI-2D1,Momal Saleem,
,,,,AI-2D2,Fatima Azhar,
,SL-1008,Communication and Presentation Skills - Lab (DS),1,DS-2A1,Ramsha Malik,Summayya Malik
,,,,DS-2A2,Iffat Nazir,
,,,,DS-2B1,Ammara Syed,
,,,,DS-2B2,Shafaq Shakeel,
,,,,DS-2C1,Saba Malik,
,,,,DS-2C2,Fariya,
,,,,DS-2D1,Ushna Shoaib,
,,,,DS-2D2,Ammara Syed,
,SL-1008,Communication and Presentation Skills - Lab  (SE),1,SE-2A1,Hina Binte Munir,Lubna
,,,,SE-2A2,Lubna,
,,,,SE-2B1,Mehreen,
,,,,SE-2B2,Ghalia Gohar,
,,,,SE-2C1,Mehreen,
,,,,SE-2C2,Lubna,
,,,,SE-2D1,Mehreen,
,,,,SE-2D2,Ghalia Gohar,
,,,,SE-2E1,Lubna,
,,,,SE-2E2,Hina Binte Munir,
,,,,SE-2F1,Ghalia Gohar,
,,,,SE-2F2,Sidra Sheikh,
,,,,SE-2G1,Mehreen,
,,,,SE-2G2,Lubna,
,SL-1008,Communication and Presentation Skills - Lab (CY),1,CY-2A1,Baila Nisar,Summayya Malik
,,,,CY-2A2,Summayya Malik,
,,,,CY-2B1,Baila Nisar,
,,,,CY-2B2,Uroosah Khan,
,,,,CY-2C1,Summayya Malik,
,,,,CY-2C2,Fariya,
,,,,CY-2D1,Summayya Malik,
,,,,CY-2D2,Uroosah Khan,
